imdb_title,tmdb_titles,budget,revenue
Deliverance,Deliverance,2000000.0,46122355.0
Guillermo del Toro's Pinocchio,Guillermo del Toro's Pinocchio,35000000.0,0.0
The Wave,The Wave,0.0,0.0
Enter the Dragon,Enter the Dragon,850000.0,400000000.0
Dark Waters,Dark Waters,20000000.0,13601384.0
Frost/Nixon,Frost/Nixon,25000000.0,27426335.0
Aftersun,Aftersun,0.0,7834405.0
The Peanut Butter Falcon,The Peanut Butter Falcon,6200000.0,23712097.0
United 93,United 93,15000000.0,76300000.0
The Secret World of Arrietty,The Secret World of Arrietty,23000000.0,149660003.0
Volver,Volver,0.0,0.0
Philomena,Philomena,12000000.0,100100000.0
The Hurricane,The Hurricane,50000000.0,73956241.0
The Iron Claw,The Iron Claw,15900000.0,40130232.0
Rebel Without a Cause,Rebel Without a Cause,1500000.0,4500000.0
Pushpa: The Rise - Part 1,Pushpa - The Rise,0.0,44880143.0
The Bridges of Madison County,The Bridges of Madison County,24000000.0,182000000.0
The Social Dilemma,The Social Dilemma,0.0,0.0
Freedom Writers,Freedom Writers,21000000.0,43095175.0
After Hours,After Hours,0.0,0.0
The Kite Runner,The Kite Runner,20000000.0,73276047.0
Only the Brave,Only The Brave,3300000.0,150000.0
Three Colors: White,Three Colors: White,0.0,1273525.0
Duel,Duel,450000.0,0.0
Mysterious Skin,Mysterious Skin,3000000.0,2148548.0
Just Mercy,Just Mercy,25000000.0,50401502.0
Fearless,Fearless,0.0,0.0
A Very Long Engagement,A Very Long Engagement,47000000.0,0.0
The Body,The Body,0.0,0.0
The Station Agent,The Station Agent,500000.0,8701337.0
Hotel Mumbai,Hotel Mumbai,25000000.0,16900000.0
Sabrina,Sabrina,2239000.0,10000000.0
Cell 211,Cell 211,5700000.0,19300483.0
All of Us Strangers,All of Us Strangers,5000000.0,14864960.0
Control,Control,0.0,0.0
The Little Prince,The Little Prince,64000000.0,97571250.0
Waking Life,Waking Life,2000000.0,3176880.0
Where Eagles Dare,Where Eagles Dare,7700000.0,21000000.0
Victoria,Victoria,0.0,0.0
Sanju,Sanju,21918618.0,67414985.0
The 39 Steps,The 39 Steps,0.0,0.0
Religulous,Religulous,0.0,0.0
Repulsion,Repulsion,300000.0,3100000.0
Leviathan,Leviathan,25000000.0,15704614.0
Shine,Shine,0.0,0.0
Invasion of the Body Snatchers,Invasion of the Body Snatchers,3500000.0,24946533.0
The Purple Rose of Cairo,The Purple Rose of Cairo,15000000.0,10631333.0
Down by Law,Down by Law,0.0,0.0
Adam's Apples,Adam's Apples,3700000.0,0.0
Kelly's Heroes,Kelly's Heroes,4000000.0,5200000.0
Hard Boiled,Hard Boiled,0.0,0.0
The Double Life of Véronique,The Double Life of Véronique,0.0,1999955.0
The Man Who Would Be King,The Man Who Would Be King,8000000.0,12678.0
Suzume,Suzume,0.0,323638107.0
The Killer,The Killer,30000000.0,318618.0
From Here to Eternity,From Here to Eternity,1650000.0,30500000.0
The Past,The Past,0.0,0.0
When Marnie Was There,When Marnie Was There,0.0,34949567.0
Belle de Jour,Belle de Jour,0.0,0.0
Transformers One,Transformers One,75000000.0,128888103.0
The Holy Mountain,The Holy Mountain,0.0,0.0
The Vanishing,The Vanishing,0.0,14543394.0
The Discreet Charm of the Bourgeoisie,The Discreet Charm of the Bourgeoisie,800000.0,103230.0
Short Cuts,Short Cuts,12000000.0,6110979.0
The Verdict,The Verdict,0.0,0.0
The Boy Who Harnessed the Wind,The Boy Who Harnessed the Wind,0.0,0.0
Naked,Naked,0.0,0.0
Vicky Donor,Vicky Donor,700000.0,0.0
Le Dîner de Cons,The Dinner Game,12500000.0,78599508.0
Shane,Shane,3100000.0,20000000.0
Jules and Jim,Jules and Jim,0.0,0.0
Key Largo,Key Largo,0.0,0.0
The Visitor,The Visitor,0.0,0.0
Zelig,Zelig,13500000.0,11798616.0
In America,In America,0.0,0.0
Ludo,Ludo,0.0,0.0
Zulu,Zulu,1720000.0,8000000.0
The Broken Circle Breakdown,The Broken Circle Breakdown,0.0,5500000.0
The Quiet Man,The Quiet Man,1750000.0,3800000.0
Giant,Giant,5400000.0,32855818.0
Confessions,Confessions,0.0,0.0
Evil,EVIL,0.0,0.0
Godzilla,Godzilla,160000000.0,524978362.0
Three Identical Strangers,Three Identical Strangers,0.0,1041955.0
In a Better World,In a Better World,15000000.0,13004198.0
Love and Death,Love and Death,3000000.0,20173742.0
The Invisible Man,The Invisible Man,7000000.0,144492724.0
Mustang,Mustang,1300000.0,5300000.0
The Art of Racing in the Rain,The Art of Racing in the Rain,18000000.0,33800000.0
Peeping Tom,Peeping Tom,0.0,0.0
Hamlet,Hamlet,2000000.0,1568749.0
The Muppet Movie,The Muppet Movie,8000000.0,75200000.0
Taste of Cherry,Taste of Cherry,0.0,0.0
Fantastic Planet,Fantastic Planet,0.0,0.0
A Man for All Seasons,A Man for All Seasons,0.0,0.0
After the Wedding,After the Wedding,0.0,0.0
Hedwig and the Angry Inch,Hedwig and the Angry Inch,6000000.0,3660081.0
Red River,Red River,2000.0,0.0
Joint Security Area,Joint Security Area,12500000.0,0.0
Happy Together,Happy Together,0.0,0.0
L'Avventura,L'Avventura,0.0,0.0
Wait Until Dark,Wait Until Dark,4000000.0,11000000.0
Raazi,Raazi,4500000.0,23800000.0
The Edge of Heaven,The Edge of Heaven,3800000.0,17804565.0
The Innocents,The Innocents,0.0,1200000.0
Dragon Ball Super: Broly,Dragon Ball Super: Broly,1000000.0,125002821.0
Fireworks,Fireworks,0.0,0.0
Chandu Champion,Chandu Champion,1600000.0,0.0
Minnal Murali,Minnal Murali,2111711.0,0.0
Hindi Medium,Hindi Medium,3213790.0,52390000.0
Cape Fear,Cape Fear,35000000.0,182300000.0
Udta Punjab,Udta Punjab,5980000.0,14900000.0
The Umbrellas of Cherbourg,The Umbrellas of Cherbourg,200000.0,7600000.0
The Promised Land,The Promised Land,8500000.0,2119043.0
Badla,Badla,0.0,0.0
14 Peaks: Nothing Is Impossible,14 Peaks: Nothing Is Impossible,0.0,0.0
Scarface,Scarface,25000000.0,66023329.0
Navalny,Navalny,0.0,0.0
The Asphalt Jungle,The Asphalt Jungle,1232000.0,0.0
The Caine Mutiny,The Caine Mutiny,2000000.0,21750000.0
My Life as a Zucchini,My Life as a Zucchini,8000000.0,5873256.0
Secret Superstar,Secret Superstar,286284.0,137416709.0
Dreams,Dreams,0.0,0.0
The Dissident,The Dissident,0.0,57000.0
Sorcerer,Sorcerer,22000000.0,9000000.0
"Like Father, Like Son","Like Father, Like Son",0.0,0.0
Black Narcissus,Black Narcissus,424000.0,0.0
The Breadwinner,The Breadwinner,0.0,312381.0
Cléo from 5 to 7,Cléo from 5 to 7,0.0,0.0
Kapoor & Sons,Kapoor & Sons,3577143.0,17412627.0
Hanu Man,Hanu-Man,4809416.0,0.0
The Magdalene Sisters,The Magdalene Sisters,5000000.0,21107578.0
You Can't Take It with You,You Can't Take It with You,1644736.0,7433101.0
Marty,Marty,343000.0,3000000.0
Eega,Eega,5990000.0,19450000.0
"What's Up, Doc?","What's Up, Doc?",4000000.0,66000000.0
My Dinner with Andre,My Dinner with Andre,475000.0,5250000.0
Aavesham,Aavesham,0.0,0.0
How Green Was My Valley,How Green Was My Valley,1250000.0,6000000.0
Playtime,PlayTime,0.0,0.0
Great Expectations,Great Expectations,25000000.0,55494066.0
My Darling Clementine,My Darling Clementine,0.0,0.0
Never Look Away,Never Look Away,0.0,4831836.0
Lakshya,Lakshya,4500000.0,4600000.0
Brother,Brother,0.0,0.0
Breaking Away,Breaking Away,2300000.0,20000000.0
Magadheera,Magadheera,0.0,0.0
That Obscure Object of Desire,That Obscure Object of Desire,0.0,2864.0
The Quiet Girl,The Quiet Girl,1.0,6.0
A Place in the Sun,A Place in the Sun,2300000.0,7000000.0
Guru,Guru,0.0,0.0
Bad Day at Black Rock,Bad Day at Black Rock,1271000.0,3788000.0
24,24,10000000.0,15000000.0
Embrace of the Serpent,Embrace of the Serpent,1400000.0,1320005.0
My Uncle,My Uncle,0.0,0.0
Spider-Man,Spider-Man,139000000.0,821708551.0
Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,200000000.0,1066179747.0
Spider-Man: Homecoming,Spider-Man: Homecoming,175000000.0,880166924.0
Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,100000000.0,876688482.0
Frozen,Frozen,0.0,3065860.0
Limitless,Limitless,27000000.0,161900000.0
Looper,Looper,30000000.0,47042000.0
X2: X-Men United,X2,110000000.0,407711549.0
The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,250000000.0,956019788.0
Spider-Man: Far from Home,Spider-Man: Far From Home,160000000.0,1131927996.0
"Crazy, Stupid, Love.","Crazy, Stupid, Love.",50000000.0,145079584.0
Juno,Juno,7500000.0,232372681.0
Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,145000000.0,694713380.0
John Wick: Chapter 2,John Wick: Chapter 2,40000000.0,171539887.0
Shrek 2,Shrek 2,150000000.0,935454538.0
Ready Player One,Ready Player One,175000000.0,607274134.0
The Terminal,The Terminal,60000000.0,219417255.0
Sherlock Holmes: A Game of Shadows,Sherlock Holmes: A Game of Shadows,125000000.0,334615000.0
Borat,"Borat: VHS Cassette of Material Deemed ""Sub-Acceptable"" by Kazakhstan Ministry of Censorship and Circumcision",0.0,0.0
John Wick: Chapter 3 - Parabellum,John Wick: Chapter 3 - Parabellum,55000000.0,326709727.0
Mission: Impossible - Rogue Nation,Mission: Impossible - Rogue Nation,150000000.0,682716636.0
10 Things I Hate About You,10 Things I Hate About You,16000000.0,53478166.0
Scream,Scream,14000000.0,173046663.0
The Nice Guys,The Nice Guys,50000000.0,71261763.0
Cloud Atlas,Cloud Atlas,102000000.0,130482868.0
The Rock,The Rock,75000000.0,335062621.0
Up in the Air,Up in the Air,25000000.0,166842739.0
Lady Bird,Lady Bird,10000000.0,79000000.0
Nobody,Nobody,17000000.0,61779301.0
Moonlight,Moonlight,4000000.0,65046687.0
Uncut Gems,Uncut Gems,19000000.0,50023780.0
Law Abiding Citizen,Law Abiding Citizen,53000000.0,127900000.0
Zero Dark Thirty,Zero Dark Thirty,40000000.0,132800000.0
Nocturnal Animals,Nocturnal Animals,22500000.0,29300000.0
Predestination,Predestination,5500000.0,4942449.0
War for the Planet of the Apes,War for the Planet of the Apes,150000000.0,490719763.0
Corpse Bride,Corpse Bride,40000000.0,118133252.0
Sully,Sully,60000000.0,240800000.0
Me Before You,Me Before You,20000000.0,207945075.0
The Lighthouse,The Lighthouse,11000000.0,18262464.0
A Nightmare on Elm Street,A Nightmare on Elm Street,1800000.0,57004513.0
A History of Violence,A History of Violence,32000000.0,61477797.0
The Talented Mr. Ripley,The Talented Mr. Ripley,40000000.0,128798265.0
Dracula,Dracula,0.0,0.0
The Evil Dead,The Evil Dead,350000.0,29612367.0
The Emperor's New Groove,The Emperor's New Groove,100000000.0,169327687.0
Darkest Hour,Darkest Hour,30000000.0,150847207.0
Garden State,Garden State,2500000.0,26781723.0
Beverly Hills Cop,Beverly Hills Cop,14000000.0,316360478.0
Carrie,Carrie,0.0,0.0
The Judge,The Judge,40000000.0,84419388.0
Luca,Luca,200000000.0,51074773.0
The English Patient,The English Patient,27000000.0,231976425.0
REC,REC,13.0,0.0
Army of Darkness,Army of Darkness,11000000.0,21502976.0
Palm Springs,Palm Springs,5000000.0,1818417.0
The Texas Chain Saw Massacre,The Texas Chain Saw Massacre,140000.0,30900000.0
K-PAX,K-PAX,48000000.0,50315140.0
Molly's Game,Molly's Game,30000000.0,59284015.0
Superman,Superman,0.0,0.0
High Fidelity,High Fidelity,30000000.0,47100000.0
Mud,Mud,10000000.0,32613173.0
Galaxy Quest,Galaxy Quest,45000000.0,90683916.0
Air,Air,0.0,0.0
Onward,Onward,200000000.0,141940042.0
The Rocky Horror Picture Show,The Rocky Horror Picture Show,1400000.0,170000000.0
We Need to Talk About Kevin,We Need to Talk About Kevin,7000000.0,10800000.0
Begin Again,Begin Again,8000000.0,63500000.0
Inside Llewyn Davis,Inside Llewyn Davis,11000000.0,32935319.0
The Orphanage,The Orphanage,1000000.0,0.0
Green Street Hooligans,Green Street Hooligans,0.0,4333271.0
How to Train Your Dragon: The Hidden World,How to Train Your Dragon: The Hidden World,129000000.0,524580592.0
The Way Way Back,The Way Way Back,4600000.0,23198652.0
Phantom Thread,Phantom Thread,35000000.0,47756590.0
Conclave,Conclave,20000000.0,115657988.0
Man on the Moon,Man on the Moon,82000000.0,47434430.0
National Lampoon's Animal House,Unseen + Untold: National Lampoon's Animal House,0.0,0.0
Crimson Tide,Crimson Tide,53000000.0,157387195.0
A League of Their Own,A League of Their Own,40000000.0,132440069.0
Jacob's Ladder,Jacob's Ladder,0.0,0.0
A Single Man,A Single Man,7000000.0,25000000.0
Little Children,Little Children,26000000.0,14821658.0
Frequency,Frequency,31000000.0,68106245.0
Malena,Malena,0.0,14493284.0
Tootsie,Tootsie,21000000.0,177200000.0
House of Flying Daggers,House of Flying Daggers,15000000.0,92863945.0
The Man Who Wasn't There,The Man Who Wasn't There,0.0,0.0
The Warriors,The Warriors,4000000.0,22490039.0
Ip Man 2,Ip Man 2,12900000.0,36000000.0
Beautiful Boy,Beautiful Boy,0.0,63931.0
August Rush,August Rush,25000000.0,66122026.0
Lolita,Lolita,62000000.0,1100000.0
American Fiction,American Fiction,16000000.0,22483370.0
Blood Simple,Blood Simple,1500000.0,4229114.0
Headhunters,Headhunters,0.0,0.0
Witness,Witness,12000000.0,116100000.0
Elizabeth,Elizabeth,30000000.0,82150642.0
The Cider House Rules,The Cider House Rules,24000000.0,88500000.0
Dead Alive,Dead or Alive 2: Birds,0.0,0.0
Dead Man,Dead Man,9000000.0,1038000.0
Boys Don't Cry,Boys Don't Cry,0.0,0.0
Following,Following,6000.0,48482.0
42,42,40000000.0,95020213.0
Dead Man Walking,Dead Man Walking,11000000.0,39363635.0
Minari,Minari,2000000.0,12900000.0
Tár,TÁR,35000000.0,29048571.0
The Land Before Time,The Land Before Time,12500000.0,84704291.0
"Good Night, and Good Luck.","Good Night, and Good Luck.",7000000.0,54600000.0
Richard Jewell,Richard Jewell,45000000.0,33900000.0
American Graffiti,American Graffiti,777000.0,140000000.0
"Synecdoche, New York","Synecdoche, New York",20000000.0,4383538.0
Reign Over Me,Reign Over Me,20000000.0,22222308.0
Ghost Dog: The Way of the Samurai,Ghost Dog: The Way of the Samurai,2000000.0,9392768.0
The Wicker Man,The Wicker Man,810000.0,513000.0
Midnight Run,Midnight Run,30000000.0,38413606.0
Frances Ha,Frances Ha,0.0,4069826.0
The Piano,The Piano,7000000.0,40200000.0
The Painted Veil,The Painted Veil,19400000.0,26910847.0
Selma,Selma,20000000.0,66787908.0
A Monster Calls,A Monster Calls,43000000.0,47309313.0
Tetris,Tetris,0.0,0.0
Biutiful,Biutiful,0.0,25147786.0
Judas and the Black Messiah,Judas and the Black Messiah,26000000.0,6416063.0
The Boy and the Heron,The Boy and the Heron,50000000.0,294200000.0
The Fisher King,The Fisher King,24000000.0,41895491.0
La Vie En Rose,La Vie en Rose,25000000.0,86274793.0
Delicatessen,Delicatessen,4000000.0,1794187.0
Midnight Express,Midnight Express,2300000.0,35000000.0
The Wailing,The Wailing,10951000.0,49851770.0
A Perfect World,A Perfect World,30000000.0,135100000.0
Funny Games,Funny Games,15000000.0,7938872.0
Lady Vengeance,Lady Vengeance,0.0,23803308.0
Fruitvale Station,Fruitvale Station,900000.0,17600000.0
Notes on a Scandal,Notes on a Scandal,15000000.0,49814392.0
Master,Master,0.0,0.0
Felon,Felon,2900000.0,0.0
Trumbo,Trumbo,0.0,0.0
An Inconvenient Truth,An Inconvenient Truth,1000000.0,46243000.0
Miss Sloane,Miss Sloane,13000000.0,9101546.0
To Catch a Thief,To Catch a Thief,2500000.0,8750000.0
Mid90s,mid90s,1700000.0,9303022.0
Dirty Rotten Scoundrels,Dirty Rotten Scoundrels,6500000.0,42000000.0
Burning,Burning,0.0,0.0
Open Range,Open Range,22000000.0,68296293.0
A Simple Plan,A Simple Plan,17000000.0,16316273.0
The Brutalist,The Brutalist,9600000.0,50145227.0
Disconnect,Disconnect,10000000.0,3428048.0
Bullitt,Bullitt,5500000.0,42300000.0
Sympathy for Mr. Vengeance,Sympathy for Mr. Vengeance,4000000.0,1954937.0
Dangerous Liaisons,Dangerous Liaisons,0.0,0.0
The Piano Teacher,The Piano Teacher,3000000.0,6766708.0
Invasion of the Body Snatchers,Invasion of the Body Snatchers,3500000.0,24946533.0
Quiz Show,Quiz Show,31000000.0,24822619.0
Hunger,Hunger,0.0,0.0
A Complete Unknown,A Complete Unknown,65000000.0,138003641.0
House of Sand and Fog,House of Sand and Fog,16500000.0,16942795.0
The Farewell,The Farewell,250300.0,23076657.0
Love Me If You Dare,Love Me If You Dare,0.0,8561072.0
The City of Lost Children,The City of Lost Children,18000000.0,1738611.0
The Devil's Backbone,The Devil's Backbone,4500000.0,6582065.0
Marathon Man,Marathon Man,6500000.0,21709020.0
The Man Who Knew Too Much,The Man Who Knew Too Much,180000.0,0.0
Drive My Car,Drive My Car,1300000.0,15356046.0
Rudy,Rudy,0.0,0.0
13 Assassins,13 Assassins,6000000.0,17555141.0
Riders of Justice,Riders of Justice,5300000.0,679505.0
Best in Show,Best in Show,0.0,0.0
The Player,The Player,8000000.0,21706101.0
The Mauritanian,The Mauritanian,0.0,7527030.0
5 Centimeters per Second,5 Centimeters per Second,5000000.0,548192.0
Menace II Society,Menace II Society,3500000.0,27900000.0
The Guilty,The Guilty,0.0,0.0
The Last Temptation of Christ,The Last Temptation of Christ,7000000.0,33773585.0
Pain and Glory,Pain and Glory,10769016.0,37359689.0
The Great Debaters,The Great Debaters,15000000.0,30226144.0
Secondhand Lions,Secondhand Lions,0.0,0.0
Chaplin,Chaplin,31000000.0,9493259.0
Cold War,Cold War,0.0,0.0
Weathering with You,Weathering with You,0.0,186965409.0
The Producers,The Producers,45000000.0,38058335.0
Miracle,Miracle,0.0,0.0
March of the Penguins,March of the Penguins,8000000.0,127392693.0
Dead Man's Shoes,Dead Man's Shoes,0.0,0.0
Tell No One,Tell No One,0.0,0.0
Kuch Kuch Hota Hai,Kuch Kuch Hota Hai,2420000.0,25690000.0
"The Adventures of Priscilla, Queen of the Desert","The Adventures of Priscilla, Queen of the Desert",2000000.0,29700000.0
The Guns of Navarone,The Guns of Navarone,6000000.0,28900000.0
The Flowers of War,The Flowers of War,94000000.0,95311434.0
The Big Blue,The Big Blue,0.0,0.0
Show Me Love,Show Me Love,0.0,0.0
The Wind that Shakes the Barley,The Wind That Shakes the Barley,6500000.0,22900000.0
Nimona,Nimona,0.0,0.0
Fallen Angels,Fallen Angels,0.0,0.0
Forbidden Planet,Forbidden Planet,1900000.0,3250000.0
White Christmas,White Christmas,0.0,1109388.0
Sophie's Choice,Sophie's Choice,12000000.0,30036166.0
Spellbound,Spellbound,0.0,0.0
A Royal Affair,A Royal Affair,8000000.0,14800000.0
Drunken Master II,Drunken Master III,0.0,0.0
Withnail and I,Withnail & I,0.0,1544889.0
A Hard Day's Night,A Hard Day's Night,560000.0,11000000.0
The Tenant,The Tenant,0.0,0.0
Boiling Point,Boiling Point,0.0,0.0
Devdas,Devdas,0.0,0.0
Women on the Verge of a Nervous Breakdown,Women on the Verge of a Nervous Breakdown,700000.0,14979298.0
It's a Mad Mad Mad Mad World,"It's a Mad, Mad, Mad World II",0.0,0.0
The Counterfeiters,The Counterfeiters,0.0,0.0
The Secret of NIMH,The Secret of NIMH,7000000.0,14665733.0
The Damned United,The Damned United,10000000.0,0.0
"Lust, Caution","Lust, Caution",15000000.0,67100000.0
The Time Machine,The Time Machine,750000.0,5902.0
Deep Red,Deep Red,0.0,2900000.0
Stree,Stree,0.0,0.0
A Bittersweet Life,A Bittersweet Life,0.0,7600000.0
Whale Rider,Whale Rider,8000000.0,41400000.0
OMG 2,OMG 2,7500000.0,28000000.0
Police Story,Police Story,500000.0,18724000.0
"The Cook, the Thief, His Wife & Her Lover","The Cook, the Thief, His Wife & Her Lover",2300000.0,7724701.0
Hair,Hair,0.0,0.0
The Hate U Give,The Hate U Give,23000000.0,34934009.0
'83,83,36786988.0,25452983.0
Watership Down,Watership Down,1000000.0,3713768.0
The Many Adventures of Winnie the Pooh,The Many Adventures of Winnie the Pooh,0.0,0.0
The Commitments,The Commitments,12000000.0,14919570.0
The Long Goodbye,The Long Goodbye,0.0,0.0
The Red Turtle,The Red Turtle,0.0,921974.0
Kill,Kill,5000.0,0.0
Mersal,Mersal,0.0,0.0
Only Yesterday,Only Yesterday,0.0,0.0
Boy A,Boy A,0.0,1200398.0
The Secret of Kells,The Secret of Kells,8000000.0,1803412.0
"Duck, You Sucker!","Duck, You Sucker",0.0,0.0
Stalingrad,Stalingrad,0.0,0.0
Little Big Man,Little Big Man,15000000.0,31559552.0
The Odd Couple,The Odd Couple,1200000.0,44527234.0
Interstate 60,Interstate 60,7000000.0,0.0
Tora! Tora! Tora!,Tora! Tora! Tora!,25485000.0,37150000.0
The Taking of Pelham One Two Three,The Taking of Pelham One Two Three,0.0,0.0
Vampire Hunter D: Bloodlust,Vampire Hunter D: Bloodlust,0.0,151086.0
God's Own Country,God's Own Country,0.0,0.0
A Little Princess,A Little Princess,17000000.0,10000000.0
I Lost My Body,I Lost My Body,0.0,0.0
Ponniyin Selvan: Part I,Ponniyin Selvan: Part I,29500000.0,59000000.0
Tanhaji: The Unsung Warrior,Tanhaji: The Unsung Warrior,16440000.0,48375000.0
Gilda,Gilda,2000000.0,6000000.0
Eyes Without a Face,Eyes Without a Face,0.0,58656.0
The Class,The Class,0.0,0.0
Jeremiah Johnson,Jeremiah Johnson,3100000.0,44700000.0
Loveless,Loveless,0.0,0.0
On Golden Pond,On Golden Pond,0.0,0.0
Romeo and Juliet,Romeo and Juliet,0.0,0.0
Raanjhanaa,Raanjhanaa,6400000.0,1171761.0
Mesrine: Killer Instinct,Mesrine: Killer Instinct,25000000.0,15000000.0
Bhool Bhulaiyaa,Bhool Bhulaiyaa,3800000.0,9900000.0
Wake Up Sid,Wake Up Sid,3000000.0,11000000.0
Jodhaa Akbar,Jodhaa Akbar,5800000.0,28700000.0
Piku,Piku,5500000.0,22159216.0
The Lady from Shanghai,The Lady from Shanghai,2300000.0,1564609.0
The Red Violin,The Red Violin,18000000.0,9495408.0
Lupin III: The Castle of Cagliostro,Lupin the Third: The Castle of Cagliostro,7202188.0,8194857.0
Sin Nombre,Sin Nombre,0.0,5102705.0
Tyrannosaur,Tyrannosaur,0.0,676111.0
Waves,Waves,6000000.0,2576990.0
Wallace & Gromit: Vengeance Most Fowl,Wallace & Gromit: Vengeance Most Fowl,0.0,191452.0
The Count of Monte-Cristo,The Count of Monte-Cristo,0.0,0.0
One Life,One Life,0.0,0.0
"Argentina, 1985",Argentina 1985,20000000.0,58424000.0
Weekend,Weekend,0.0,0.0
Instructions Not Included,Instructions Not Included,5500000.0,99067206.0
Delhi Belly,Delhi Belly,4090000.0,18035000.0
Mortal World,Mortal World,0.0,1562712.0
Joyeux Noel,Joyeux Noel,22000000.0,17709155.0
The Ladykillers,The Ladykillers,35000000.0,76700000.0
Cobain: Montage of Heck,Cobain: Montage of Heck,0.0,0.0
One Cut of the Dead,One Cut of the Dead,52406.0,27590180.0
Death Note,Death Note,40000000.0,0.0
Henry V,Henry V,0.0,0.0
Lifeboat,Lifeboat,1590000.0,1000000.0
Mr. Church,Mr. Church,8000000.0,0.0
Dil Se..,Dil Se..,5200000.0,13000000.0
Gettysburg,Gettysburg,25000000.0,12700000.0
Christiane F.,Christiane F.,0.0,0.0
You Can Count on Me,You Can Count on Me,0.0,11200000.0
Husbands and Wives,Husbands and Wives,0.0,0.0
Monty Python's and Now for Something Completely Different,And Now for Something Completely Different,100000.0,7000.0
El Dorado,El Dorado,0.0,0.0
Mystery Train,Mystery Train,2800000.0,1544973.0
Highway,Highway,14000000.0,0.0
Marcel the Shell with Shoes On,Marcel the Shell with Shoes On,6000000.0,6909209.0
A Hero,Once Upon a Time: The Super Heroes,0.0,0.0
You Don't Know Jack,You Don't Know Jack,0.0,0.0
"Oslo, August 31st","Oslo, August 31st",0.0,1481665.0
Baazigar,Baazigar,0.0,0.0
How to Steal a Million,How to Steal a Million,6400000.0,4400000.0
On Body and Soul,On Body and Soul,0.0,0.0
Boy,Boy,0.0,9116968.0
The Barbarian Invasions,The Barbarian Invasions,8000000.0,34883010.0
Tanu Weds Manu Returns,Tanu Weds Manu: Returns,6153000.0,39270000.0
Cure,CURE,0.0,0.0
The Last Detail,The Last Detail,2300000.0,10000000.0
Nashville,Nashville,2200000.0,9995555.0
Chhaava,Chhaava,15800000.0,94988235.0
Meet Me in St. Louis,Meet Me in St. Louis,1707561.0,7566000.0
Evangelion: 1.0 You Are (Not) Alone,Evangelion: 1.0 You Are (Not) Alone,7000000.0,20121073.0
Les Misérables,Les Misérables,14000000.0,14096321.0
Sophie Scholl: The Final Days,Sophie Scholl: The Final Days,0.0,0.0
McCabe & Mrs. Miller,McCabe & Mrs. Miller,0.0,0.0
Remember,Remember,0.0,1986615.0
"Play It Again, Sam","Play It Again, Sam",0.0,0.0
Jim & Andy: The Great Beyond,Jim & Andy: The Great Beyond,0.0,0.0
Walkabout,Walkabout,1000000.0,0.0
The Boy and the Beast,The Boy and the Beast,0.0,49714378.0
1900,1900,9000000.0,0.0
The Shootist,The Shootist,0.0,13400000.0
Band of Outsiders,Band of Outsiders,120000.0,182857.0
Roger & Me,Roger & Me,160000.0,6706368.0
Capturing the Friedmans,Capturing the Friedmans,0.0,4076990.0
Vera Drake,Vera Drake,11000000.0,13300000.0
The Magnificent Ambersons,The Magnificent Ambersons,0.0,0.0
The Man Without a Past,The Man Without a Past,0.0,0.0
Control,Control,0.0,0.0
New World,New World,0.0,0.0
The Long Good Friday,The Long Good Friday,0.0,0.0
Between Family,Between Friends and Family,0.0,0.0
Conspiracy,Conspiracy,8000000.0,0.0
Sorry We Missed You,Sorry We Missed You,0.0,8766149.0
Seeking True Love,Foolishly Seeking True Love,0.0,0.0
Cyrano de Bergerac,Cyrano de Bergerac,0.0,0.0
Better Man,Better Man,110000000.0,22541033.0
Beautiful Thing,Beautiful Thing,0.0,1500000.0
Pickpocket,Pickpocket,0.0,0.0
A Thursday,A Thursday,0.0,0.0
Chup,Chup,0.0,0.0
Darr,Darr,0.0,0.0
Bloody Sunday,Bloody Sunday,0.0,773228.0
Where to Invade Next,Where to Invade Next,0.0,3820195.0
Last Year at Marienbad,Last Year at Marienbad,0.0,0.0
Red Cliff II,Red Cliff II,80000000.0,121059225.0
Madras Cafe,Madras Cafe,5400000.0,6500000.0
Fist of Legend,Fist of Legend,0.0,0.0
Mutiny on the Bounty,Mutiny on the Bounty,19000000.0,13680000.0
Parmanu: The Story of Pokhran,Parmanu: The Story of Pokhran,7405000.0,0.0
The Trial,The Trial,0.0,0.0
Flickering Lights,Flickering Lights,0.0,0.0
Maurice,Maurice,2600000.0,2438304.0
The Butterfly's Dream,The Butterfly's Dream,0.0,0.0
Shiddat,Shiddat,0.0,0.0
Avengers: Age of Ultron,Avengers: Age of Ultron,365000000.0,1405403694.0
Black Panther,Black Panther,200000000.0,1349926083.0
Wonder Woman,Wonder Woman,149000000.0,823970682.0
X-Men,X-Men,75000000.0,296339527.0
It,It,35000000.0,703000000.0
Men in Black,Men in Black,90000000.0,589390539.0
Tenet,Tenet,205000000.0,365304105.0
Troy,Troy,175000000.0,497409852.0
Split,Split,9000000.0,278454358.0
American Sniper,American Sniper,58800000.0,542300000.0
Cars,Cars,120000000.0,461983149.0
Bullet Train,Bullet Train,90000000.0,239300000.0
No Time to Die,No Time to Die,250000000.0,774153024.0
